company_name,stock_ticker,exchange,sector,sics_sector,ebitda_2022,ebitda_currency,ebitda_unit,non_usd,ebitda_source,sustainability_report,headquarters_country,iso_3166_code,scope_1_emissions,scope_2_emissions,scope_3_emissions,emissions_reporting_unit,notes
Visa, V, NYSE, Financial Services,6021,19.67,USD,billion,0,https://www.visa.com/content/dam/VCOM/global/aboutvisa/documents/visa-annual-report-2022.pdf,https://investor.visa.com/financials/annual-reports/default.aspx,United States,US,0.83,1.59,1.39,million tonnes CO₂e,"Visa reported an EBITDA of 19.67 billion USD for the year ending 2022 and continues to focus on sustainability initiatives including emissions reduction targets. In 2023, their GHG emissions included 0.83 million tonnes for Scope 1 and 1.59 million tonnes for Scope 2 with an additional 1.39 million tonnes from Scope 3 emissions. The company aims to reduce its overall emissions by 50% by 2030 compared to 2020 levels."
MasterCard, MA, NYSE, Financial Services,6021,14.6,USD,billion,0,https://investor.mastercard.com/investor-news/investor-news-details/2023/Mastercard-Incorporated-Fourth-Quarter-and-Full-Year-2022-Financial-Results-Available-on-Companys-Website/default.aspx,https://www.mastercard.com/news/press-releases/2023/mastercard-releases-2023-esg-report,United States,US,0.25,0.55,1.1,million tonnes CO₂e,"MasterCard reported an EBITDA of 14.60 billion USD for the year ending 2022 and continues to enhance its sustainability efforts. In 2023, their GHG emissions included 0.25 million tonnes for Scope 1 and 0.55 million tonnes for Scope 2 with an additional 1.10 million tonnes from Scope 3 emissions. The company aims to eliminate first-use PVC plastics from payment cards by 2028 and is actively engaging suppliers to reduce emissions."
 Bayer,BAYN,Xetra,Healthcare,2834,14.49,USD,billion,0,https://www.bayer.com/media/en-us/bayer-significant-growth-in-sales-and-earnings/,https://www.bayer.com/sites/default/files/2024-03/bayer-sustainability-report-2023.pdf,Germany,DE,1.91,0.56,10.63,million tonnes CO₂e,"Bayer aims to achieve net-zero GHG emissions by 2050 and has set interim targets for 2030. In 2023, Scope 1 emissions were 1.91 million tonnes, Scope 2 emissions were 0.56 million tonnes, and Scope 3 emissions were 10.63 million tonnes."
 Vestas Wind Systems,A2P7Z9,Copenhagen,Industrials,3511,-0.63,USD,billion,0,https://www.marketscreener.com/quote/stock/VESTAS-WIND-SYSTEMS-A-S-121357143/finances/,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2023/2023-annual-report/Sustainability%20Report%202023.pdf.coredownload.inline.pdf,Denmark,DK,108.0,1.0,,million tonnes CO₂e,7660
 Whirlpool,WHR,NYSE,Consumer Discretionary,3631,1.36,USD,billion,0,https://www.prnewswire.com/news-releases/whirlpool-announces-fourth-quarter-and-full-year-results-provides-2024-guidance-302047119.html,https://www.whirlpoolpro.com/news-events/whirlpool-corporation-releases-2023-sustainability-report,United States,US,1.0,0.5,49.0,million tonnes CO₂e,Whirlpool reported an EBITDA of 1.36 billion USD for the year ending 2022 and has made significant strides in reducing greenhouse gas emissions across all scopes in 2023. Their GHG emissions included 1.0 million tonnes for Scope 1 and 0.5 million tonnes for Scope 2 with an additional 49.0 million tonnes from Scope 3 emissions. The company aims to reduce emissions from products in use by 20% by 2030 compared to a 2016 baseline.
 AT&T,T,NYSE,Communication Services,4813,41.5,USD,billion,0,https://investors.att.com/~/media/Files/A/ATT-IR-V2/financial-reports/quarterly-earnings/2022/4Q22/ATT_4Q22_Earnings.pdf,https://sustainability.att.com/ViewFile?fileGuid=b3a2b1a4-d6cf-4250-89d6-95d83c54ae0f,United States,US,1.04,4.74,10.98,million tonnes CO₂e,https://sustainability.att.com/progress/corporate-responsibility-data
 BT Group,BT.A,LSE,Telecommunications,4813,8.23,USD,billion,0,https://www.directorstalkinterviews.com/bt-group-reports-strong-growth-in-revenue-and-ebitda-with-increased-customer-demand/4121140586,https://www.bt.com/bt-plc/assets/documents/digital-impact-and-sustainability/our-approach/our-policies-and-reports/bt-carbon-reduction-plan.pdf,United Kingdom,GB,0.18,0.06,3.29,million tonnes CO₂e,"BT Group's EBITDA for the year ending 2022 was reported at 6.1 billion GBP, which converts to approximately 8.23 billion USD at the year-end exchange rate. The company has ambitious targets for reducing its GHG emissions and aims for net zero by 2031 for Scope 1 and Scope 2 emissions, reporting Scope 1 emissions of 0.18 million tonnes CO₂e and Scope 2 emissions of 0.06 million tonnes CO₂e for 2023. Scope 3 emissions were reported at 3.29 million tonnes CO₂e."
 Verizon,VZ,NYSE,Telecommunications,4813,47.9,USD,billion,0,https://www.verizon.com/about/sites/default/files/2023-02/2022Q4-VZ-FormalRemarks-012423cl.pdf,https://www.verizon.com/about/sites/default/files/Verizon-2023-ESG-Report.pdf,United States,US,269.0,3511.0,15124.0,million tonnes CO₂e,https://www.verizon.com/about/sites/default/files/Verizon-2023-ESG-Report.pdf
 Tesla,TSLA,NASDAQ,Consumer Discretionary,3711,17.4,USD,billion,0,https://ir.tesla.com/static-files/9e8c0d3d-1d5b-4c9e-b3f1-7d5a5c0f0b56,https://www.tesla.com/sustainability-report,United States,US,50.0,0.0,0.0,million tonnes CO₂e,"Tesla reported an EBITDA of 17.40 billion USD for the year ending 2022 and aims for net-zero emissions across its entire lifecycle. In 2023, their GHG emissions included 50 million tonnes for Scope 1 and no reported emissions for Scope 2 and Scope 3."
 Patagonia,PATG,Private,Consumer Discretionary,2321,0.25,USD,billion,0,https://www.patagonia.com/climate-goals/,https://www.patagonia.com/mx/our-responsibility-programs.html,United States,US,2963.0,0.0,199394.0,million tonnes CO₂e,"Patagonia reported an EBITDA of 0.25 billion USD for the year ending 2022 and aims to achieve net-zero GHG emissions across its value chain by 2040. For fiscal year 2023, the company reported Scope 1 emissions of 2.963 million tonnes CO₂e and Scope 3 emissions totaling 199.394 million tonnes CO₂e, with no Scope 2 emissions reported as they are negligible in their operations."
 IKEA,IK,Stockholm,Consumer Discretionary,2511,1.71,USD,billion,0,https://www.inter.ikea.com/en/performance/fy22-financial-results,https://www.ikea.com/global/en/images/IKEA_CLIMATE_Report_FY_23_20240125_a5a1535f4e.pdf,Sweden,SE,1.0,0.6,22.5,million tonnes CO₂e,"IKEA reported an EBITDA of 1.71 billion USD for the year ending 2022 and has set ambitious sustainability targets aiming for carbon neutrality by 2040. In 2023, their GHG emissions included 1.0 million tonnes for Scope 1 and 0.6 million tonnes for Scope 2 with an additional 22.5 million tonnes from Scope 3 emissions. The company is committed to reducing its emissions by 50% by 2030 compared to 2016 levels."
 Nike,NKE,NYSE,Consumer Discretionary,3021,7515.0,USD,billion,0,https://www.macrotrends.net/stocks/charts/NKE/nike/ebitda,https://media.about.nike.com/files/2fd5f76d-50a2-4906-b30b-3b6046f36ebf/FY23_Nike_Impact_Report.pdf,United States,US,71.0,0.0007,9.54,million tonnes CO₂e,"Nike has reported a total of 9.54 million tonnes of CO₂e in 2023, with Scope 1 and 2 emissions down to 70,723 tons."
 Peabody Energy,BTU,NYSE,Energy,1221,1.84,USD,billion,0,https://www.prnewswire.com/news-releases/peabody-reports-results-for-fourth-quarter-and-year-ended-december-31-2022-301745922.html,https://www.peabodyenergy.com/Peabody/media/MediaLibrary/2024_Peabody_ESG_Report.pdf,United States,US,6.51,1.38,0.0,million tonnes CO₂e,https://www.peabodyenergy.com/Peabody/media/MediaLibrary/2024_Peabody_ESG_Report.pdf
 Cemex,CX,NYSE,Materials,3273,3.35,USD,billion,0,https://www.cemex.co.uk/-/cemex-reports-double-digit-top-line-growth-with-record-reduction-in-co2-emissions-in-2022,https://www.concreteconnect.co.uk/news/cemex-presents-its-2023-integrated-report,Mexico,MX,2.1,1.0,7.9,million tonnes CO₂e,"CEMEX reported a record EBITDA of US$3.35 billion for the year ending 2022 and has made significant strides in reducing its GHG emissions in 2023 with Scope 1 emissions at 2.1 million tonnes, Scope 2 at 1 million tonnes, and Scope 3 at 7.9 million tonnes CO₂e."
 Walmart,WMT,NYSE,Retail,5311,35.55,USD,billion,0,https://corporate.walmart.com/content/dam/corporate/documents/press-center/walmart-releases-q4-and-fy22-earnings/q4-fy22-earnings-presentation.pdf,https://www.statista.com/statistics/531531/carbon-emissions-worldwide-walmart/,United States,US,7.1,6.5,14.2,million tonnes CO₂e,https://corporate.walmart.com/purpose/sustainability/planet/climate-change
 McDonald's,MCD,NYSE,Consumer Services,5812,9.37,USD,billion,0,https://corporate.mcdonalds.com/corpmcd/our-stories/article/Q4-2022-results.html,https://www.smartenergydecisions.com/energy-management/2024/09/16/mcdonalds-corporation-2023-2024-purpose-and-impact-report,United States,US,1.15,0.36,27.77,million tonnes CO₂e,"McDonald's reported an EBITDA of 9.37 billion USD for the year ending 2022 and has set ambitious sustainability targets aiming for net zero emissions by 2050. In 2023, their GHG emissions included 1.15 million tonnes for Scope 1 and 0.36 million tonnes for Scope 2 with an additional 27.77 million tonnes from Scope 3 emissions. The company is committed to reducing its emissions by over 50% by 2030 compared to 2018 levels."
 Toyota Motor Corporation,TM,NYSE,Automotive,3711,18.6,USD,billion,0,https://pressroom.toyota.com/tmc-announces-april-through-december-2022-financial-results/,https://www.greenpeace.org/eastasia/press/8724/toyotas-reply-to-our-open-letter-concerning-the-automakers-climate-measures/,Japan,JP,593.0,0.0,0.0,million tonnes CO₂e,https://www.greenpeace.org/eastasia/press/8724/toyotas-reply-to-our-open-letter-concerning-the-automakers-climate-measures/
 General Motors,GM,NYSE,Automotive,3711,14.47,USD,billion,0,https://investor.gm.com/static-files/a9be519f-523b-4f9c-958a-92c6290f82fa,https://cleantechnica.com/2024/05/13/the-general-motors-2023-sustainability-report-mixed-results-several-disappointments/,USA,US,1.5,0.5,8.0,million tonnes CO₂e,https://cleantechnica.com/2024/05/13/the-general-motors-2023-sustainability-report-mixed-results-several-disappointments/
 Taiwan Semiconductor Manufacturing Company,TSM,Taiwan Stock Exchange,Technology,3671,50.72,USD,billion,0,https://investor.tsmc.com/static/annualReports/2022/english/index.html,https://www.taiwansemi.com/en/publication-of-2023-sustainability-report,Taiwan,TW,1.8,10.0,0.0,million tonnes CO₂e,"Taiwan Semiconductor Manufacturing Company (TSMC) reported an EBITDA of 50.72 billion USD for the year ending 2022. In 2023, TSMC's GHG emissions included 1.8 million tonnes for Scope 1 and 10 million tonnes for Scope 2 emissions with no reported Scope 3 emissions."
 DuPont,DD,NYSE,Materials,2869,3.26,USD,billion,0,https://www.investors.dupont.com/news-and-media/press-release-details/2023/DuPont-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx,https://www.smartenergydecisions.com/energy-management/2024/04/30/dupont-lowers-emissions-by-58-increases-re,United States,US,0.3935,0.0549,1.49,million tonnes CO₂e,https://www.smartenergydecisions.com/energy-management/2024/04/30/dupont-lowers-emissions-by-58-increases-re
 Meta,META,NASDAQ,Technology,7370,28.94,USD,billion,0,https://investor.fb.com/investor-news/press-release-details/2023/Meta-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx,https://sustainability.atmeta.com/climate/,United States,US,25.0,45.0,7.4,million tonnes CO₂e,"Meta has set the goal of achieving net zero emissions across its value chain in 2030. In 2023, their GHG emissions included 0.025 million tonnes for Scope 1 and 0.045 million tonnes for Scope 2 with an additional 7.4 million tonnes from Scope 3 emissions."
 eBay,EBAY,NASDAQ,Consumer Services,5731,3.38,USD,billion,0,https://investors.ebayinc.com/investor-news/press-release-details/2023/eBay-Inc.-Reports-Better-Than-Expected-Fourth-Quarter-2022-Results/default.aspx,https://www.prnewswire.com/news-releases/science-based-targets-initiative-approves-ebays-ambitious-goal-to-reduce-scope-1-and-2-carbon-emissions-90-by-2030-301400247.html,United States,US,0.5,0.1,1.6,million tonnes CO₂e,"eBay reported an EBITDA of 3.38 billion USD for the year ending 2022 and has committed to reducing its Scope 1 and Scope 2 emissions by 90% by 2030 from a 2019 baseline. In 2023, their GHG emissions included 0.5 million tonnes for Scope 1 and 0.1 million tonnes for Scope 2 with an additional 1.6 million tonnes from Scope 3 emissions. The company is striving for carbon neutrality in its operations."
 Zoom Video Communications,ZM,NASDAQ,Technology,7372,1.29,USD,billion,0,https://investors.zoom.us/node/11021/pdf,https://explore.zoom.us/media/fy2023-zoom-esg-report.pdf,United States,US,328.0,21045.0,54469.0,million tonnes CO₂e,"Zoom reported an EBITDA of 1.29 billion USD for the year ending 2022 and has set ambitious sustainability targets aiming for carbon neutrality by 2030. In 2023, their GHG emissions included 0.328 million tonnes for Scope 1 and 21.045 million tonnes for Scope 2 with an additional 54.469 million tonnes from Scope 3 emissions. The company is committed to reducing its emissions by 50% by 2030 compared to 2021 levels."
 Netflix,NFLX,NASDAQ,Consumer Discretionary,7812,19996.0,USD,billion,0,https://www.macrotrends.net/stocks/charts/NFLX/netflix/ebitda,https://downloads.ctfassets.net/4cd45et68cgf/7rnC6zK537cM8zAGrXA90E/3c654a2d0023a4dac26a20b2fff39855/Netflix_2022-ESG-Report-FINAL.pdf,United States,US,162.0,51.0,1193.0,million tonnes CO₂e,"Netflix reported an EBITDA of 19.996 billion USD for the year ending 2022 and has set ambitious sustainability targets aiming for carbon neutrality by 2030. In 2023, their GHG emissions included 0.162 million tonnes for Scope 1 and 0.051 million tonnes for Scope 2 with an additional 1.192659 million tonnes from Scope 3 emissions. The company is committed to reducing its emissions by 50% by 2030 compared to 2021 levels."
 Autodesk,ADSK,NASDAQ,Technology,7372,1.4,USD,billion,0,https://investors.autodesk.com/news-releases/news-release-details/autodesk-inc-announces-fiscal-2022-fourth-quarter-and-full-year,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/fy23-autodesk-impact-report.pdf,United States,US,0.1,0.03,2.3,million tonnes CO₂e,"Autodesk reported an EBITDA of 1.40 billion USD for the year ending 2022 and has committed to neutralizing its GHG emissions across Scopes 1, 2, and 3 since FY21. In 2023, their GHG emissions included 0.10 million tonnes for Scope 1 and 0.03 million tonnes for Scope 2 with an additional 2.30 million tonnes from Scope 3 emissions. The company aims to further reduce its emissions significantly in the coming years."
 Walt Disney Company,DIS,NYSE,Communication Services,7812,11.91,USD,billion,0,https://www.businesswire.com/news/home/20241114719290/en/The-Walt-Disney-Company-Reports-Fourth-Quarter-and-Full-Year-Earnings-for-Fiscal-2024,https://www.greendigest.co/p/waltdisney-environmental-and-social-impact,United States,US,1.0,9.0,13.0,million tonnes CO₂e,"Disney reported an EBITDA of 11.91 billion USD for the year ending 2022 and continues to focus on sustainability initiatives to reduce its carbon footprint. In 2023, their GHG emissions included 1.0 million tonnes for Scope 1 and 9 million tonnes for Scope 2 with an additional 13 million tonnes from Scope 3 emissions. The company aims to achieve significant reductions in its overall emissions by 2030."
 Warner Music Group,WMG,NASDAQ,Media,5122,1.2,USD,billion,0,https://www.globenewswire.com/news-release/2023/11/16/2781735/0/en/Warner-Music-Group-Corp-Reports-Results-for-Fiscal-Fourth-Quarter-and-Full-Year-Ended-September-30-2023.html,https://www.wmg.com/news/warner-music-group-releases-2023-annual-esg-impact-report,United States,US,0.15,0.03,8.0,million tonnes CO₂e,"Warner Music Group reported an EBITDA of 1.20 billion USD for the year ending September 30, 2022 and is committed to reducing its GHG emissions across all scopes by 2030 with specific targets validated by the Science Based Targets initiative."
 Sony Group Corporation,,,,3651,2.04,USD,billion,0,https://www.sony.com/en/SonyInfo/IR/library/presen/er/pdf/22q4_sonyspeech.pdf,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2023_data_E.pdf,Japan,JP,0.23,0.74,20.45,million tonnes CO₂e,"Sony reported an EBITDA of 2.04 billion USD for the year ending 2022 and aims to achieve a 72% reduction in absolute scope 1 and 2 GHG emissions by FY2035 from a FY2018 base year. In 2023, their GHG emissions included 0.23 million tonnes for Scope 1 and 0.74 million tonnes for Scope 2 with an additional 20.45 million tonnes from Scope 3 emissions."
 Marriott International,MAR,NASDAQ,Consumer Discretionary,7011,1.09,USD,billion,0,https://www.marriott.com/investor/financials/default.mi,,United States,US,0.21,0.08,5.12,million tonnes CO₂e,
 Hilton,HLT,NYSE,Consumer Discretionary,7011,2.6,USD,billion,0,https://www.businesswire.com/news/home/20230209005067/en/Hilton-Reports-Fourth-Quarter-and-Full-Year-Results,https://esg.hilton.com/environment/,United States,US,2.57,0.0,4.02,million tonnes CO₂e,"Hilton reported an Adjusted EBITDA of 2.60 billion USD for the year ended 2022 and has set ambitious targets to achieve net zero emissions by 2030. In 2023, their GHG emissions included 2.57 million tonnes for Scope 1 and 0.00 million tonnes for Scope 2 with an additional 4.02 million tonnes from Scope 3 emissions. The company aims to reduce its emissions intensity by 75% for managed hotels by 2030."
 Expedia Group,EXPE,NASDAQ,Technology,7370,2.35,USD,billion,0,https://www.expediagroup.com/investors/news-and-events/financial-releases/news/news-details/2024/Expedia-Group-Reports-Fourth-Quarter-and-Full-Year-2023-Results/default.aspx,https://s202.q4cdn.com/757635260/files/doc_downloads/2024/05/expedia-group-global-impact-report-2023.pdf,USA,US,0.5,2.0,97.5,million tonnes CO₂e,"Expedia Group’s 2023 Global Impact Report provides an executive summary of the Company’s Environmental, Social, and Governance (ESG) strategy, targets, and performance."
